community,,14365,,3395,,305,,1640,,1955,,535,,894,,1095,,174,,598,,728,,124,Province / Territory,Population
Chesterfield Inlet,pre-2000-single,65,2001-2015-single,10,post-2016-single,0,pre-2000-semi,0,2001-2015-semi,20,post-2016-semi,0,pre-2000-row-mid,6,2001-2015-row-mid,3,post-2016-row-mid,3,pre-2000-row-end,4,2001-2015-row-end,2,post-2016-row-end,2,NU,397
Chipewyan Lake,pre-2000-single,0,2001-2015-single,0,post-2016-single,5,pre-2000-semi,0,2001-2015-semi,0,post-2016-semi,0,pre-2000-row-mid,0,2001-2015-row-mid,0,post-2016-row-mid,0,pre-2000-row-end,0,2001-2015-row-end,0,post-2016-row-end,0,AB,72
Clova,pre-2000-single,16,2001-2015-single,3,post-2016-single,0,pre-2000-semi,0,2001-2015-semi,2,post-2016-semi,2,pre-2000-row-mid,0,2001-2015-row-mid,0,post-2016-row-mid,0,pre-2000-row-end,0,2001-2015-row-end,0,post-2016-row-end,0,QC,100
Clyde River,pre-2000-single,145,2001-2015-single,45,post-2016-single,0,pre-2000-semi,0,2001-2015-semi,0,post-2016-semi,0,pre-2000-row-mid,0,2001-2015-row-mid,0,post-2016-row-mid,0,pre-2000-row-end,0,2001-2015-row-end,0,post-2016-row-end,0,NU,1181
Collins,pre-2000-single,6,2001-2015-single,1,post-2016-single,0,pre-2000-semi,0,2001-2015-semi,0,post-2016-semi,0,pre-2000-row-mid,0,2001-2015-row-mid,0,post-2016-row-mid,0,pre-2000-row-end,0,2001-2015-row-end,0,post-2016-row-end,0,ON,30
Colville Lake,pre-2000-single,15,2001-2015-single,10,post-2016-single,0,pre-2000-semi,0,2001-2015-semi,0,post-2016-semi,5,pre-2000-row-mid,0,2001-2015-row-mid,0,post-2016-row-mid,0,pre-2000-row-end,0,2001-2015-row-end,0,post-2016-row-end,0,NT,110
Coral Harbour,pre-2000-single,115,2001-2015-single,10,post-2016-single,0,pre-2000-semi,15,2001-2015-semi,15,post-2016-semi,0,pre-2000-row-mid,9,2001-2015-row-mid,24,post-2016-row-mid,0,pre-2000-row-end,6,2001-2015-row-end,16,post-2016-row-end,0,NU,1035
Crescent Spur,pre-2000-single,6,2001-2015-single,0,post-2016-single,0,pre-2000-semi,0,2001-2015-semi,0,post-2016-semi,0,pre-2000-row-mid,0,2001-2015-row-mid,0,post-2016-row-mid,0,pre-2000-row-end,0,2001-2015-row-end,0,post-2016-row-end,0,BC,24
Da'naxda'xw First Nation,pre-2000-single,5,2001-2015-single,0,post-2016-single,0,pre-2000-semi,0,2001-2015-semi,0,post-2016-semi,0,pre-2000-row-mid,0,2001-2015-row-mid,0,post-2016-row-mid,0,pre-2000-row-end,0,2001-2015-row-end,0,post-2016-row-end,0,BC,22
Dease River 4,pre-2000-single,25,2001-2015-single,0,post-2016-single,0,pre-2000-semi,0,2001-2015-semi,0,post-2016-semi,0,pre-2000-row-mid,0,2001-2015-row-mid,0,post-2016-row-mid,0,pre-2000-row-end,0,2001-2015-row-end,0,post-2016-row-end,0,BC,39
Destruction Bay,pre-2000-single,0,2001-2015-single,10,post-2016-single,0,pre-2000-semi,0,2001-2015-semi,0,post-2016-semi,0,pre-2000-row-mid,0,2001-2015-row-mid,0,post-2016-row-mid,0,pre-2000-row-end,0,2001-2015-row-end,0,post-2016-row-end,0,NT,573
Déline,pre-2000-single,110,2001-2015-single,10,post-2016-single,10,pre-2000-semi,15,2001-2015-semi,15,post-2016-semi,0,pre-2000-row-mid,9,2001-2015-row-mid,3,post-2016-row-mid,0,pre-2000-row-end,6,2001-2015-row-end,2,post-2016-row-end,0,NT,40
Fort Chipewyan,pre-2000-single,0,2001-2015-single,240,post-2016-single,65,pre-2000-semi,0,2001-2015-semi,25,post-2016-semi,0,pre-2000-row-mid,0,2001-2015-row-mid,15,post-2016-row-mid,0,pre-2000-row-end,0,2001-2015-row-end,10,post-2016-row-end,0,AB,996
Fort Good Hope,pre-2000-single,145,2001-2015-single,15,post-2016-single,5,pre-2000-semi,0,2001-2015-semi,10,post-2016-semi,0,pre-2000-row-mid,0,2001-2015-row-mid,0,post-2016-row-mid,0,pre-2000-row-end,0,2001-2015-row-end,0,post-2016-row-end,0,NT,507
Fort Hope,pre-2000-single,205,2001-2015-single,30,post-2016-single,0,pre-2000-semi,0,2001-2015-semi,10,post-2016-semi,0,pre-2000-row-mid,3,2001-2015-row-mid,0,post-2016-row-mid,0,pre-2000-row-end,2,2001-2015-row-end,0,post-2016-row-end,0,ON,977
Fort Liard,pre-2000-single,140,2001-2015-single,0,post-2016-single,0,pre-2000-semi,10,2001-2015-semi,0,post-2016-semi,0,pre-2000-row-mid,0,2001-2015-row-mid,0,post-2016-row-mid,0,pre-2000-row-end,0,2001-2015-row-end,0,post-2016-row-end,0,NT,468
Fort McPherson,pre-2000-single,150,2001-2015-single,5,post-2016-single,0,pre-2000-semi,25,2001-2015-semi,5,post-2016-semi,0,pre-2000-row-mid,21,2001-2015-row-mid,12,post-2016-row-mid,0,pre-2000-row-end,14,2001-2015-row-end,8,post-2016-row-end,0,NT,647
Fort Providence,pre-2000-single,180,2001-2015-single,0,post-2016-single,0,pre-2000-semi,20,2001-2015-semi,10,post-2016-semi,0,pre-2000-row-mid,12,2001-2015-row-mid,3,post-2016-row-mid,6,pre-2000-row-end,8,2001-2015-row-end,2,post-2016-row-end,4,NT,618
Fort Severn,pre-2000-single,75,2001-2015-single,0,post-2016-single,0,pre-2000-semi,0,2001-2015-semi,0,post-2016-semi,0,pre-2000-row-mid,0,2001-2015-row-mid,3,post-2016-row-mid,3,pre-2000-row-end,0,2001-2015-row-end,2,post-2016-row-end,2,ON,364
Fort Simpson,pre-2000-single,265,2001-2015-single,35,post-2016-single,5,pre-2000-semi,30,2001-2015-semi,25,post-2016-semi,0,pre-2000-row-mid,15,2001-2015-row-mid,12,post-2016-row-mid,0,pre-2000-row-end,10,2001-2015-row-end,8,post-2016-row-end,0,NT,1100
François,pre-2000-single,0,2001-2015-single,30,post-2016-single,0,pre-2000-semi,0,2001-2015-semi,0,post-2016-semi,0,pre-2000-row-mid,0,2001-2015-row-mid,0,post-2016-row-mid,0,pre-2000-row-end,0,2001-2015-row-end,0,post-2016-row-end,0,NL,64
Gamètì,pre-2000-single,0,2001-2015-single,60,post-2016-single,0,pre-2000-semi,0,2001-2015-semi,10,post-2016-semi,5,pre-2000-row-mid,0,2001-2015-row-mid,0,post-2016-row-mid,0,pre-2000-row-end,0,2001-2015-row-end,0,post-2016-row-end,0,NT,252
Gilford Island,pre-2000-single,9,2001-2015-single,0,post-2016-single,0,pre-2000-semi,0,2001-2015-semi,0,post-2016-semi,0,pre-2000-row-mid,0,2001-2015-row-mid,0,post-2016-row-mid,0,pre-2000-row-end,0,2001-2015-row-end,0,post-2016-row-end,0,BC,38
Gjoa Haven,pre-2000-single,140,2001-2015-single,0,post-2016-single,0,pre-2000-semi,25,2001-2015-semi,10,post-2016-semi,0,pre-2000-row-mid,18,2001-2015-row-mid,42,post-2016-row-mid,9,pre-2000-row-end,12,2001-2015-row-end,28,post-2016-row-end,6,NU,1349
