BRITISH COLUMBIA,1
MANITOBA,4
NEW BRUNSWICK,7
NEWFOUNDLAND AND LABRADOR,10
NUNAVUT,13
ALBERTA,2
ONTARIO,5
NOVA SCOTIA,8
YUKON,11
SASKATCHEWAN,3
NORTHWEST TERRITORIES,12
LAC LA MARTRE,186
QUEBEC,6
PRINCE EDWARD ISLAND,9
NORTHWEST TERRITORIES,12
